Unitcell_volume,Density,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,Largest_included_sphere,Largest_free_sphere,Largest_included_sphere_along_free_path,name
665.857,2.2873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494765,7.4305,3.24859,2.92767,1.05616,2.92767,qmof-cfb0f9e
393.858,1.55002,106.775,0.2711,0.174901,0.0,0.0,0.0,38.7524,983.917,634.778,0.0,0.0,0.0,4.3691,3.82174,4.3691,qmof-3b672a9
735.461,2.04161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41031,1.56606,2.16327,qmof-71f390e
859.534,1.80452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7446,0.94663,1.6906,qmof-6919937
984.661,1.83564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57763,1.1068,2.57763,qmof-44ae5b4
798.676,2.27927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.40615,0.71707,2.39333,qmof-aa90826
1040.0,2.21053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46913,0.93123,2.45743,qmof-ec93474
998.179,2.00842,0.0,0.0,0.0,20.1632,0.0202,0.0100577,0.0,0.0,0.0,2.97258,29.78,14.8276,3.23148,2.3012,3.20529,qmof-837f84a
3343.37,2.75496,1059.51,0.3169,0.115029,0.0,0.0,0.0,465.026,1390.89,504.867,0.0,0.0,0.0,6.59669,5.39005,6.562,JIYXUL_clean
3039.92,0.942507,1390.16,0.4573,0.485195,0.0,0.0,0.0,693.998,2282.95,2422.21,0.0,0.0,0.0,6.38868,4.31423,6.38868,EJAXIW_clean
1030.9,2.34173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01185,1.5162,2.01185,qmof-07bf8f2
3425.58,1.35155,663.878,0.1938,0.143391,0.0,0.0,0.0,295.769,863.412,638.831,0.0,0.0,0.0,4.73204,4.05435,4.73204,MOFBIU_clean
815.497,1.4906,301.082,0.3692,0.247685,0.0,0.0,0.0,124.17,1522.62,1021.48,0.0,0.0,0.0,5.21401,4.1425,5.09459,FUSGOR_clean
863.254,1.52079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50285,1.33232,2.50285,qmof-d83e85c
2407.82,1.20312,0.0,0.0,0.0,372.008,0.1545,0.128416,0.0,0.0,0.0,186.671,775.271,644.383,5.09129,2.76553,4.88901,qmof-f130ab1
4002.01,1.28684,0.0,0.0,0.0,1087.75,0.2718,0.211216,0.0,0.0,0.0,520.104,1299.61,1009.92,4.89839,2.74985,4.89839,qmof-7a9a91d
752.071,1.55993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14251,1.05432,2.05362,qmof-766433e
5173.92,1.05415,1746.2,0.3375,0.320164,0.0,0.0,0.0,828.634,1601.56,1519.29,0.0,0.0,0.0,6.8305,3.71719,6.1852,ALUREF_clean
862.95,1.48633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59935,1.06738,1.58806,qmof-2e4202b
4111.35,1.08644,2251.38,0.5476,0.504029,0.0,0.0,0.0,1228.7,2988.54,2750.76,0.0,0.0,0.0,7.13598,3.79175,7.13598,YEGHIC_clean
640.765,2.05609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8553,0.85052,1.66354,qmof-05d6b33
454.834,2.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8693,0.74962,1.8693,qmof-546b738
523.341,1.82974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1514,0.55843,1.13325,qmof-137f122
663.154,2.05351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74843,0.90162,1.74082,qmof-803dd45
441.214,2.10377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23186,0.80691,2.22676,qmof-71a4d07
815.012,1.63992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09668,0.85104,1.87274,qmof-2397f35
752.29,2.3591,0.0,0.0,0.0,18.8825,0.0251,0.0106396,0.0,0.0,0.0,3.70972,49.3123,20.903,3.04846,0.91785,3.04846,qmof-82af598
7704.15,1.33333,2713.4,0.3522,0.26415,0.0,0.0,0.0,1429.11,1854.99,1391.24,0.0,0.0,0.0,5.64183,4.20103,5.6364,MULXUO_clean
3149.85,1.10873,1659.34,0.5268,0.475137,0.0,0.0,0.0,682.44,2166.58,1954.1,0.0,0.0,0.0,7.6272,6.3767,7.6272,EVADIQ_clean
12286.0,1.41669,5628.23,0.4581,0.32336,0.0,0.0,0.0,2458.28,2000.87,1412.36,0.0,0.0,0.0,9.74492,3.34125,9.7435,BUPFEY_clean
1637.85,1.7748,441.4,0.2695,0.151848,0.0,0.0,0.0,195.034,1190.8,670.946,0.0,0.0,0.0,4.74239,3.64796,4.73681,NIHBAI_clean
847.925,2.46387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96079,0.69373,1.94896,qmof-908c20a
387.106,1.78941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38739,0.98302,1.387,qmof-8547db1
1792.12,1.61194,525.269,0.2931,0.181831,0.0,0.0,0.0,240.04,1339.42,830.94,0.0,0.0,0.0,4.986,4.06892,4.90495,WICGEV_clean
971.237,1.71213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50238,1.70203,2.49729,qmof-c67450f
1690.16,1.65399,0.0,0.0,0.0,29.5777,0.0175,0.0105805,0.0,0.0,0.0,8.99086,53.1955,32.162,3.11464,2.54535,3.11019,qmof-1bae494
1258.82,1.31869,191.089,0.1518,0.115114,16.2388,0.0129,0.00978242,85.6149,680.12,515.753,5.26526,41.8269,31.7185,4.35465,3.14345,4.28439,qmof-268d1d4
9268.23,0.853176,4978.9,0.5372,0.629647,0.0,0.0,0.0,2094.97,2260.37,2649.36,0.0,0.0,0.0,9.8786,4.35791,9.87613,FAHQIQ_clean
3061.07,1.10941,1559.62,0.5095,0.459253,0.0,0.0,0.0,748.254,2444.42,2203.35,0.0,0.0,0.0,5.97424,4.21292,5.95714,APAYIB_clean
549.664,1.63092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95836,1.22833,1.83862,qmof-c5c5d13
723.668,1.71705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07681,0.82998,2.00959,qmof-d768aa1
767.357,2.53825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95662,0.76368,1.94623,qmof-bf184e0
1473.04,1.82003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14481,1.01199,1.72057,qmof-3905c3b
3527.76,1.47059,0.0,0.0,0.0,730.599,0.2071,0.140828,0.0,0.0,0.0,338.124,958.465,651.755,4.35974,2.14572,4.35561,qmof-9a33911
6000.74,1.29721,2694.93,0.4491,0.346204,0.0,0.0,0.0,1138.32,1896.97,1462.35,0.0,0.0,0.0,10.13591,3.81582,10.13591,GEDDEA_clean
1813.94,1.27797,854.729,0.4712,0.368709,0.0,0.0,0.0,316.597,1745.35,1365.72,0.0,0.0,0.0,7.9366,6.74785,7.90831,WOJNAL_clean
3263.98,1.48902,1398.61,0.4285,0.287772,0.0,0.0,0.0,585.141,1792.72,1203.96,0.228819,0.701042,0.470806,8.24655,3.54646,8.24655,JILWIL_clean
1842.05,2.08778,193.231,0.1049,0.0502447,0.0,0.0,0.0,77.2824,419.547,200.953,0.0,0.0,0.0,3.80781,3.15227,3.79566,qmof-81f6b94
1099.21,1.70841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50357,1.08845,2.50357,qmof-12ba7bc
1127.25,2.67363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56224,0.64099,1.5583,qmof-274e985
560.86,2.4903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21506,0.40575,1.21506,qmof-31d939d
1842.52,1.77406,299.409,0.1625,0.0915978,0.0,0.0,0.0,126.83,688.349,388.008,0.0,0.0,0.0,4.63766,2.88755,4.45726,qmof-214ca92
1448.94,2.28963,0.0,0.0,0.0,33.1808,0.0229,0.0100016,0.0,0.0,0.0,8.3525,57.6455,25.1768,3.78229,1.09681,2.55609,qmof-ff54923
961.689,1.55809,315.338,0.3279,0.21045,0.0,0.0,0.0,143.951,1496.86,960.7,0.0,0.0,0.0,4.97213,3.73339,4.97213,ELIKOA_clean
3018.7,1.38918,739.28,0.2449,0.176291,0.0,0.0,0.0,346.262,1147.06,825.707,0.0,0.0,0.0,5.37744,3.52563,5.37744,AXINEA_clean
1270.27,1.69323,0.0,0.0,0.0,29.9784,0.0236,0.0139379,0.0,0.0,0.0,3.55904,28.018,16.5471,3.09453,2.19959,3.09425,qmof-8214361
474.996,1.62987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38771,1.97874,2.37646,qmof-85bf949
1347.77,1.66839,732.919,0.5438,0.325943,0.0,0.0,0.0,355.958,2641.08,1583.02,0.0,0.0,0.0,4.86021,4.34715,4.86021,DUQYEU_clean
1280.59,2.49668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87599,0.83065,1.71303,qmof-3ca5d72
2570.99,1.4189,1093.18,0.4252,0.299669,0.0,0.0,0.0,479.588,1865.38,1314.67,0.0,0.0,0.0,6.06773,5.57161,6.06773,VIRXIF_clean
1061.01,1.8708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13343,0.95312,2.12547,qmof-15d237d
1405.15,1.51593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10363,1.19204,2.10339,qmof-c02bcdf
2249.52,1.62927,0.0,0.0,0.0,201.332,0.0895,0.0549324,0.0,0.0,0.0,74.605,331.649,203.556,3.90803,2.75187,3.88779,qmof-50169e9
2753.34,1.59342,430.072,0.1562,0.098028,0.0,0.0,0.0,182.197,661.732,415.29,0.0,0.0,0.0,4.91767,3.65042,4.91767,qmof-878ee6a
809.559,2.33094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42245,0.60734,2.34528,qmof-e697da3
822.502,1.97442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37106,1.47019,2.37106,qmof-02c4706
1463.52,1.51867,259.19,0.1771,0.116615,0.0,0.0,0.0,109.041,745.055,490.596,0.0,0.0,0.0,5.83114,5.68667,5.8304,AVIMIC_clean
2237.97,1.91678,578.068,0.2583,0.134757,0.0,0.0,0.0,233.754,1044.49,544.919,0.0,0.0,0.0,7.18693,4.9999,6.82563,OFESAU_clean
688.142,1.74611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92509,1.16738,1.9021,qmof-c02979d
917.169,2.2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17425,0.86298,2.15057,qmof-eacac19
1620.29,1.45324,0.0,0.0,0.0,60.7607,0.0375,0.0258044,0.0,0.0,0.0,13.4787,83.1871,57.2424,3.17347,1.76304,3.16665,qmof-f6f5670
602.374,1.99776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19276,0.54286,1.03223,qmof-c679c80
461.32,2.32782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86765,1.18431,1.83007,qmof-4125488
1261.69,2.29423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63637,1.97993,2.63497,qmof-83e07e9
2837.87,1.32291,918.335,0.3236,0.244612,0.0,0.0,0.0,376.278,1325.92,1002.27,0.0,0.0,0.0,8.36305,3.24732,8.15694,OBUREL_clean
1903.79,0.92739,1118.85,0.5877,0.633714,0.0,0.0,0.0,505.466,2655.06,2862.93,0.0,0.0,0.0,5.97505,5.0342,5.95251,RIBDAJ_clean
783.096,1.92264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36779,0.89649,2.3574,qmof-4366c64
1186.92,2.81468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71023,0.74786,1.68593,qmof-221bac5
530.138,1.54766,161.957,0.3055,0.197394,0.0,0.0,0.0,66.0084,1245.12,804.513,0.0,0.0,0.0,4.46373,3.90131,4.45622,qmof-9af4bae
308.552,2.44569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79527,0.9465,1.79527,qmof-8f9b4a4
5844.78,0.745402,3570.58,0.6109,0.819558,0.0,0.0,0.0,1523.53,2606.64,3496.97,0.0,0.0,0.0,7.43256,4.9158,7.43256,qmof-77d3bda
1021.78,2.09107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11742,1.04918,2.10391,qmof-9ea13da
1437.4,1.72105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7101,1.26778,2.70658,qmof-836779c
22126.3,0.597835,15647.7,0.7072,1.18294,0.0,0.0,0.0,5213.5,2356.24,3941.3,0.0,0.0,0.0,20.07695,6.64365,20.07695,YUZPOA_clean
3221.47,1.37123,1055.03,0.3275,0.238837,0.0,0.0,0.0,523.909,1626.3,1186.02,0.0,0.0,0.0,4.26248,3.63568,4.25014,CUKXIR_clean
1554.91,1.30509,219.709,0.1413,0.108269,0.0,0.0,0.0,96.0001,617.398,473.071,0.0,0.0,0.0,4.33822,3.26276,4.33822,qmof-ad847be
555.113,4.09263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81987,0.99878,1.81987,qmof-6903ec5
30478.3,0.334035,24754.4,0.8122,2.43148,0.0,0.0,0.0,5773.97,1894.46,5671.43,0.0,0.0,0.0,17.20124,11.68232,17.20124,LEJCEK_clean
577.391,1.95965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96404,1.03867,1.96404,qmof-1026675
1663.42,1.39709,428.331,0.2575,0.184312,0.0,0.0,0.0,187.237,1125.61,805.684,0.0,0.0,0.0,4.86095,4.44876,4.8459,FOCZAA_clean
50722.2,0.321672,43418.2,0.856,2.66109,0.0,0.0,0.0,7303.29,1439.86,4476.17,0.0,0.0,0.0,18.57439,17.55669,18.57439,BIHBAX_clean
759.247,1.68342,289.501,0.3813,0.226504,0.0,0.0,0.0,117.603,1548.94,920.115,0.0,0.0,0.0,5.76787,3.48016,5.766,NAYPIM_clean
1162.17,1.40736,0.0,0.0,0.0,36.2596,0.0312,0.0221692,0.0,0.0,0.0,7.65927,65.905,46.8288,3.49255,1.0444,1.8552,qmof-c4a69d9
2493.94,1.15398,742.946,0.2979,0.258149,0.0,0.0,0.0,363.476,1457.43,1262.96,0.0,0.0,0.0,4.87842,3.38171,4.8157,qmof-f063351
3855.51,1.01371,1895.37,0.4916,0.484953,0.0,0.0,0.0,1045.03,2710.49,2673.84,0.0,0.0,0.0,5.63524,4.06053,5.63524,AVETAY_clean
959.348,1.53379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67631,1.45317,2.67631,qmof-63d089a
1099.36,1.5162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97047,0.98996,1.97047,qmof-fe08220
1479.57,2.60765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82509,0.80972,1.82031,qmof-866f41f
937.588,1.5815,0.0,0.0,0.0,193.237,0.2061,0.13032,0.0,0.0,0.0,62.902,670.891,424.213,4.41809,1.70455,4.41795,qmof-5d053df
3853.22,3.23475,741.744,0.1925,0.0595099,0.0,0.0,0.0,367.906,954.801,295.17,0.0,0.0,0.0,5.46243,3.54297,5.46243,qmof-d6f338e
652.029,2.50039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80859,0.98007,1.80859,qmof-75b48a7
919.795,1.56254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79099,1.3322,2.47999,qmof-3bc58f6
2618.17,2.15217,0.0,0.0,0.0,455.824,0.1741,0.0808951,0.0,0.0,0.0,216.502,826.92,384.226,4.15942,2.78366,4.1541,HOGQAX_clean
936.704,2.47267,0.0,0.0,0.0,31.2859,0.0334,0.0135076,0.0,0.0,0.0,3.19051,34.061,13.775,3.32503,1.85609,3.32503,qmof-aac02f7
1451.18,0.908148,687.426,0.4737,0.521611,0.0,0.0,0.0,246.522,1698.76,1870.58,0.0,0.0,0.0,7.89869,7.18073,7.88787,qmof-fe2b515
652.984,2.06667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39425,0.85244,2.386,qmof-6500a22
1154.11,1.55519,126.49,0.1096,0.0704736,0.0,0.0,0.0,39.7693,344.589,221.573,0.0,0.0,0.0,4.3954,2.86763,4.3954,XOPKIX_clean
931.44,1.51308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51381,0.86384,1.49936,qmof-313ba41
510.553,1.83811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74808,1.22615,2.58444,qmof-ab4de6d
1009.16,1.85012,0.0,0.0,0.0,200.318,0.1985,0.10729,0.0,0.0,0.0,86.23,854.472,461.846,3.92833,2.42373,3.92092,qmof-dbf1bf8
4043.98,1.21526,2087.5,0.5162,0.424767,0.0,0.0,0.0,939.954,2324.33,1912.62,0.0,0.0,0.0,6.61542,5.14354,6.60525,EKOPIE_clean
1477.33,1.32603,741.324,0.5018,0.378421,0.0,0.0,0.0,271.137,1835.32,1384.07,0.0,0.0,0.0,7.38821,7.21115,7.38821,OWIJAH_clean
915.383,1.58342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00629,0.8696,1.99237,qmof-22fb57d
836.03,1.24595,257.163,0.3076,0.24688,0.0,0.0,0.0,124.444,1488.51,1194.68,0.0,0.0,0.0,4.71438,3.4366,4.71438,qmof-15fd7ce
4419.43,0.578564,3383.07,0.7655,1.3231,0.0,0.0,0.0,994.322,2249.89,3888.75,0.0,0.0,0.0,15.20212,8.00692,15.20212,qmof-a2d95c3
1057.11,2.49698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48655,1.47999,2.48248,qmof-85027d8
4917.6,1.316,0.0,0.0,0.0,350.133,0.0712,0.0541034,0.0,0.0,0.0,179.305,364.619,277.067,4.11119,1.38874,4.11119,qmof-f1c0599
1363.74,1.35564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5845,1.70912,2.45247,qmof-43d60ca
1047.83,1.15157,487.87,0.4656,0.404319,0.0,0.0,0.0,219.56,2095.38,1819.59,0.0,0.0,0.0,6.40183,4.15529,6.40183,DOYLEI_clean
1032.74,1.56228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39936,1.25665,1.90302,qmof-363055b
